Наименование мороженого	Масса порции,г	Единичный штрих-код / меняем на 	Срок хранения при t минус 18°С, не более	комментарий																																			
Мороженое молочное с чёрной смородиной	550	4620032652181	12 месяцев	"Ведро ""Филевское"""																																			
"Мороженое ""Филевское"" пломбир шоколадный с кусочками шоколада с малиновой начинкой"	550	4620032652174	12 месяцев	"Ведро ""Филевское"""																																			
"Мороженое пломбир с ароматом имбиря с наполнителем ""Имбирь-лимон"" ""Вологодский пломбир"""	275	4620032652082	18 месяцев	"Ведро ""Вологоский пломбир"""																																			
"Десерт ""MiniMe"" замороженный фруктовый ""Сорбет чёрная смородина"""	80	4607067937025	18 месяцев	картонный стаканчик																																			
"Десерт замороженный фруктовый ""Сорбет лимон-лайм"""	80	4607067937001	18 месяцев	картонный стаканчик																																			
Мороженое пломбир шоколадный «Вологодский пломбир» 	60	4620032651979	18 месяцев	Вологодский пломбир																																			
"Мороженое пломбир ""Вологодский пломбир"""	60	4620032652150	18 месяцев	СТМ САПСАН Вологодский пломбир																																			
"Мороженое пломбир с вареным сгущенным молоком ""Вологодский пломбир"""	60	4620032652235	12 месяцев	Вологодский пломбир																																			
"Мороженое пломбир ""Вологодский пломбир"""	60	4620032651740	18 месяцев	Вологодский пломбир 																																			
"Мороженое пломбир с фисташковой пастой с кешью, декорированное лепестками миндаля ""Вкусландия"""	450	4600625314962	18 месяцев	Вкусландия																																			
"Мороженое пломбир с кленовым сиропом с грецким орехом ""Вкусландия"""	450	4600625310872	18 месяцев	Вкусландия новые лотки 																																			
"Мороженое пломбир с ароматом ""Сырный кекс"" с карамелизированным кешью с шоколадным топингом, декорированное шоколадной крошкой ""Вкусландия"""	450	4607067934178	18 месяцев	Вкусландия 																																			
"Мороженое ""Филевское"" сливочное с ароматом дыни"	2200	4607067936707	18 месяцев	Филевское 2200 г																																			
"Десерт замороженный фруктовый ""Сорбет чёрная смородина"""	3000	4607067936721	18 месяцев	Сорбет																																			
"Десерт замороженный фруктовый ""Сорбет лимон-лайм"""	3000	4607067936752	18 месяцев	Сорбет																																			
Мороженое пломбир ванильный	500	4607067936844	12 месяцев	СТМ Аэрофлот																																			
"Мороженое ""Филевское"" пломбир с фисташковой пастой с кешью с кремовой начинкой со вкусом фисташек"	2200	4607067937049	18 месяцев	Филевское 2200 г																																			
"Мороженое ""Филевское"" пломбир с ароматом тирамису с кусочками шоколадного печенья с шоколадным топпингом"	2200	4607067937124	18 месяцев	Филевское 2200 г																																			
"Десерт замороженный фруктовый ""Сорбет малина"""	3000	4607067937377	18 месяцев	Сорбет																																			
"Мороженое ""Филевское"" пломбир с ароматом карамели с карамелизированным кешью с мягкой карамелью"	2200	4607067937414	18 месяцев	Филевское 2200 г																																			
"Десерт замороженный фруктовый ""Сорбет"" манговый"	3000	4607067937452	18 месяцев	Сорбет																																			
"Мороженое ""Филевское"" сливочное  с банановым пюре с ароматом банана с шоколадным топпингом "	2200	4607067937599	18 месяцев	Филевское 2200 г																																			
"Мороженое ""Филевское"" сливочное с ароматом йогурта с наполнителем ""Лесная ягода"""	2200	4607067937612	18 месяцев	Филевское 2200 г																																			
"Мороженое ""Филевское"" пломбир с ароматом бисквита с кусочками шоколадного печенья ""Бисконтино"""	2200	4607067937636	18 месяцев	Филевское 2200 г																																			
"Мороженое ""Филевское"" сливочное с ароматом мяты с кусочками шоколада"	2200	4607067938336	18 месяцев	Филевское 2200 г																																			
"Мороженое ""Филевское"" сливочное с ароматом малины с воздушным зефиром"	2200	4607067938350	18 месяцев	Филевское 2200 г																																			
"Мороженое ""Стандарт"" пломбир ванильный"	2200	4607067938770	18 месяцев	Стандарт 																																			
Десерт замороженный фруктовый «Сорбет облепиха»	1500	4607067939104	18 месяцев	Северная ягода																																			
Десерт замороженный фруктовый «Сорбет черника»	1500	4607067939081	12 месяцев	Северная ягода																																			
"Мороженое ""От Деда Мороза"" с заменителем молочного жира шоколадное"	2200	4607067939166	18 месяцев	От Деда Мороза																																			
"Мороженое ""От Деда Мороза"" с заменителем молочного жира с ароматом клубники"	2200	4607067939203	18 месяцев	От Деда Мороза																																			
"Десерт замороженный фруктовый ""Сорбет крыжовник"""	1500	4607067939517	18 месяцев	Северная ягода																																			
"Десерт замороженный фруктовый ""Сорбет клюква-брусника"""	1500	4607067939531	12 месяцев	Северная ягода																																			
"Десерт ""Филевский"" замороженный фруктовый ""Сорбет малина с базиликом"""	3000	4607067939937	18 месяцев	Филевский																																			
"Десерт ""Филевский"" замороженный фруктовый ""Сорбет вишня"""	3000	4620032651214	18 месяцев	Филевский																																			
Мороженое «Филевское» пломбир ванильный с абрикосовым наполнителем	2200	4620032651221	18 месяцев																																				
Мороженое «Филевское» пломбир крем-брюле	2200	4620032651238	18 месяцев																																				
"Мороженое""Вологодский пломбир"" пломбир шоколадный с кусочками шоколада с шоколадным топингом"	2200	4620032651283	18 месяцев	Вологодский пломбир																																			
"Мороженое ""Вологодский пломбир"" пломбир с ароматом лесной орех с фундуком с варёным сгущённым молоком"	2200	4620032651320	18 месяцев	"Вологодский пломбир 
изменение массы на 2,2 кг"																																			
Фруктовый лёд со вкусом арбуза	3000	4620032651368	18 месяцев	Стандарт																																			
"Мороженое ""Вологодский пломбир"" пломбир с брусничным наполнителем"	2200	4620032651467	18 месяцев																																				
"Мороженое ""Вологодский пломбир"" пломбир с клубникой"	2200	4620032651474	18 месяцев																																				
"Мороженое ""От Деда Мороза"" с заменителем молочного жира ванильное"	2200	4607067937971	18 месяцев	От Деда Мороза 																																			
"Мороженое ""Стандарт"" сливочное ванильное с клубникой"	2200	4607067938756	18 месяцев	Стандарт																																			
"Мороженое ""Филевское"" пломбир  ванильный"	2200	4607067936134	18 месяцев	Филевское Развесное 																																			
"Мороженое""Филевское"" пломбир шоколадный с кусочками шоколада"	2200	4607067936585	18 месяцев	Филевское Развесное 																																			
"Мороженое ""Филевское"" сливочное с клубникой"	2200	4607067936622	18 месяцев	Филевское Развесное																																			
"Мороженое ""Филевское"" пломбир ванильный ""ваниль-бурбон"""	2200	4607067936660	18 месяцев	Филевское 																																			
"Мороженое ""Филевское"" сливочное с кленовым сиропом с грецким орехом"	2200	4607067936684	18 месяцев	Филевское 																																			
"Мороженое ""Стандарт"" пломбир ванильный с шоколадной крошкой"	2200	4607067937353	18 месяцев																																				
"Мороженое ""Филевское"" сливочное с ароматом жевательной резинки бабл гам ""Голубое небо"""	2200	4607067937438	18 месяцев	Филевское 2200 г																																			
"Мороженое пломбир ""Вологодский пломбир"""	2200	4607067938671	18 месяцев	Вологодский пломбир весовое																																			
"Мороженое ""Стандарт"" сливочное шоколадное"	2200	4607067938718	18 месяцев	Стандарт																																			
"Мороженое ""Стандарт"" сливочное ванильное"	2200	4607067938695	18 месяцев	Стандарт 																																			
"Мороженое ""Стандарт"" сливочное ванильное с черной смородиной"	2200	4607067938299	18 месяцев	Стандарт 																																			
